Designator,Footprint,Quantity,Value,LCSC Part #
C1,"E2,5-6E",1,10µ,
"I2C_2, I2C_3",1X04,2,i2c-Bus,
IC1,D36V28FX_3v,1,D36V28FX,
IC2,D36V28FX_5V,1,D36V28FX,
"JP1, JP4",1X03_8V,2,Buchse,
JP13,2X02_LS,1,led_out,
JP14,2X04_aP,1,Ana.input,
"JP5, JP6, JP7, JP8",B8B-PH-K_MS,4,B8B-PH-K,
"R1, R2",0207_10_R,2,100,
"R101, R108, R3, R4, R5, R6, R9",0207_10_R,7,10k,
"U$1, U$2, U$3, U$4",24_2_MT,4,24/2,
U$17,KICKER,1,KICKER,
U$9,ESP32-DEVKITV1,1,ESP32DEVKITV1,
"X1, X3",MICROMATCH-4_IR,2,MICROMATCH-4,
"X2, X5",MICROMATCH-10_Pixy,2,MICROMATCH-10,
