Designator,Mid X,Mid Y,Rotation,Layer
C1,106.0,-95.73,270.0,top
I2C_2,118.0,-157.19,90.0,top
I2C_3,113.0,-157.19,90.0,top
IC1,65.61,-104.67,270.0,top
IC2,128.93,-109.53,90.0,top
JP1,50.5,-107.5,270.0,top
JP13,116.73,-48.01,90.0,top
JP14,116.73,-56.19,270.0,top
JP4,145.0,-107.5,90.0,top
JP5,149.292893,-121.292893,315.0,top
JP6,45.050253,-93.050253,135.0,top
JP7,150.0,-91.0,45.0,top
JP8,46.12132,-122.87868,225.0,top
R1,98.62,-64.0,0.0,top
R101,94.0,-143.0,180.0,top
R108,98.62,-54.0,0.0,top
R2,98.62,-67.0,0.0,top
R3,98.7,-79.695,0.0,top
R4,98.7,-77.195,0.0,top
R5,98.7,-74.695,0.0,top
R6,98.62,-72.195,0.0,top
R9,98.54,-59.0,0.0,top
U$1,134.878282,-140.184205,135.0,bottom
U$17,109.71775,-122.75825,180.0,top
U$2,59.694077,-74.243437,315.0,bottom
U$3,135.0,-74.0,315.0,top
U$4,59.694077,-141.039488,135.0,top
U$9,98.77,-69.505,270.0,top
X1,97.59,-95.555,90.0,top
X2,77.73,-53.445,270.0,top
X3,88.73,-95.53,90.0,top
X5,78.550987,-155.652962,45.0,top
